ingr,freq
red chile flakes,51
canadian bacon,51
cornbread,51
flat leaf parsley,51
wonton wrappers,52
french baguette,52
plantains,52
sunflower seeds,52
liqueur,52
parmigiano-reggiano cheese,52
tahini,52
sausage,52
almond milk,53
spinach leaves,53
phyllo dough,53
queso fresco,53
ciabatta bread,53
garbanzo beans,53
pepper sauce,53
linguine,54
clams,54
ancho chiles,54
pineapple chunks,54
water chestnuts,54
grits,54
pear,54
condensed milk,54
guacamole,55
plain bread crumbs,55
anchovy paste,55
whole wheat flour,55
dill pickles,55
plum tomato,55
frosting,55
grenadine,56
marsala wine,56
celery seeds,56
deli ham,56
chocolate ice cream,56
cane sugar,56
vanilla yogurt,56
sugar snap peas,57
cod,57
orzo,57
poblano chiles,57
coconut extract,57
apricot preserves,57
salmon fillet,58
oysters,58
hungarian paprika,58
ginger ale,58
sauerkraut,59
juice of 2 limes,59
pecorino,59
allspice berries,59
currants,59
pasta,59
slab bacon,59
mangoes,60
bibb lettuce,60
chile flakes,60
manchego cheese,60
collard greens,60
flaked coconut,60
macadamia nuts,60
pretzels,61
beefsteak tomatoes,61
jicama,61
almond flour,61
chocolate syrup,62
whiskey,62
swiss chard,62
eggplants,63
portobello mushroom caps,63
cucumbers,63
celery stalks,63
okra,63
spanish onions,63
truffle oil,63
agave syrup,63
salami,64
pecorino romano cheese,64
greens,64
pickle relish,64
peppermint extract,64
pickles,65
anchovies,65
pork loin,66
gorgonzola,66
celery seed,66
chile powder,66
baby carrots,66
edamame,66
lemongrass,66
clam juice,67
mexican oregano,67
poblano peppers,67
poppy seeds,67
lentils,68
sprinkles,68
plain greek yogurt,68
lump crabmeat,68
puff pastry,68
grapefruit juice,68
veal,68
tomato juice,68
macaroni,69
portobello mushrooms,69
littleneck clams,69
potato chips,69
spanish paprika,69
broth,69
escarole,69
beef brisket,70
asiago cheese,70
chickens,70
skirt steak,70
bean sprouts,70
zest,71
lemon peel,71
penne pasta,72
panko,72
fennel seed,72
crackers,72
romano,73
heirloom tomatoes,73
pepperoni,73
raspberry jam,73
idaho potatoes,73
caraway seeds,74
grapefruit,74
fingerling potatoes,74
nonstick spray,75
adobo sauce,75
ginger root,75
pork tenderloin,76
prosecco,76
crusty bread,76
applesauce,77
graham cracker crumbs,77
pumpkin,77
cognac,77
table salt,77
cotija cheese,77
andouille sausage,77
all-vegetable shortening,77
serrano chiles,78
bread flour,78
sanding sugar,79
marjoram,79
pesto,79
pecan halves,79
self-rising flour,80
fennel bulb,80
porcini mushrooms,80
saffron,81
garam masala,81
lasagna noodles,82
chorizo,82
mirin,82
coconut flakes,83
pomegranate seeds,83
pumpkin seeds,83
pears,83
pork butt,84
cajun seasoning,84
rice flour,84
egg noodles,84
basmati rice,84
cardamom pods,84
monterey jack,85
ancho chili powder,85
caramel sauce,85
orange peel,85
yeast,85
sprigs rosemary,86
pearl onions,86
plums,86
romaine,86
lime wedges,86
baby spinach leaves,87
dates,87
snow peas,88
cocoa,88
jumbo shrimp,88
fontina cheese,90
tomato puree,91
cashews,91
clover honey,91
ice cream,91
turbinado sugar,91
triple sec,92
whole-wheat flour,92
sea scallops,92
chuck,93
provolone cheese,94
