Ingr,Match,Score
taleggio cheese,"cheese, processed cheese food",0.5773502691896258
beef filets,beef jerky,0.4999999999999999
rapid-rise yeast,yeast,0.5773502691896258
phyllo tartlet shells,"stuffed shells, cheese-filled, no sauce",0.23570226039551587
round tip steak,steak teriyaki,0.40824829046386296
prune pulp,"prune, dried",0.4999999999999999
cornbread and muffin mix,"cornbread muffin, stick, round",0.5
cubanelle pepper,pepper steak,0.4999999999999999
Spring mix lettuce,"snack mix, plain (chex mix)",0.4364357804719848
black bean garlic paste,black bean sauce,0.5773502691896258
Jamie's BBQ Sauce,reese's sticks,0.2886751345948129
Vietnamese fish sauce,fish sauce,0.8164965809277259
Honey mustard,mustard,0.7071067811865475
filo pastry,"pastry, puff",0.4999999999999999
Moscato d'Asti sparkling,fruit juice drink (sunny d),0.22360679774997896
potato flour,"bread, potato",0.4999999999999999
Italian orange-flavored aperitif,"martini, flavored",0.35355339059327373
pastry dough,"pastry, puff",0.4999999999999999
Plain and Perfect Pie Crust,"ham and cheese sandwich, with lettuce and spread",0.28284271247461895
bakers' sugar,"cookie, sugar wafer, sugar free",0.5345224838248487
margarita mix,"margarita mix, nonalcoholic",0.8164965809277259
manzanella olives,"olives, stuffed",0.4999999999999999
casaba melon,"bitter melon, cooked",0.40824829046386296
tomatillo salsa verde,"salsa verde or salsa, green",0.6546536707079772
rum extract,rum,0.7071067811865475
meat and rolls,eggplant and meat casserole,0.5773502691896258
nuts,pine nuts,0.7071067811865475
Russian banana,banana split,0.4999999999999999
long English cucumbers,long island iced tea,0.2886751345948129
bao buns,yam buns; puerto rican style,0.31622776601683794
baby back,baby ruth,0.4999999999999999
Bottled Buffalo sauce,"beef and potatoes with cream sauce, white sauce or mushroom sauce",0.420084025208403
ice cream,ice cream cake,0.8164965809277259
Focaccia strips,"chicken tenders or strips, nfs",0.31622776601683794
Pound cake cubes,"cake, fruit cake, light or dark, holiday type cake",0.447213595499958
maraschino cherry,"cherries, maraschino",0.4999999999999999
slice-and-bake sugar cookie dough,"cookie, sugar wafer",0.47140452079103173
frozen whole kernel corn,"waffle, whole grain, from frozen",0.4472135954999579
chocolate icing,"icing, chocolate",0.9999999999999998
Golden pineapple,"pineapple, frozen",0.4999999999999999
Menemsha sole fillet,"vegetarian, fillet",0.40824829046386296
blueberry vodka,vodka,0.7071067811865475
French fried onions,"onions, raw",0.40824829046386296
Moroccan spice blend,"cheese, mexican blend",0.33333333333333337
Pleasant Ridge Reserve cheese,"cheese, processed cheese food",0.4082482904638631
red and white sprinkles,beans and white rice,0.5
from your turkey,"turkey, ground",0.40824829046386296
Boar's Head Chipotle Chicken,reese's sticks,0.2581988897471611
lemonade concentrate,"lemonade, frozen concentrate, not reconstituted",0.6324555320336759
pretzels rods,"pretzels, nfs",0.4999999999999999
Italian squash,"pie, squash",0.4999999999999999
Dulce de Leche,"salsa, pico de gallo",0.2886751345948129
dragon fruit,"fruit, pickled",0.4999999999999999
lime peel,"lime, raw",0.4999999999999999
chocolate mints,"fudge, chocolate, chocolate-coated",0.5773502691896258
peanut filled candy coated chocolates,"marshmallow, candy-coated",0.5163977794943222
capellini pasta,flavored pasta,0.4999999999999999
chipotle in adobe,vegetables in pastry,0.33333333333333337
gelatin dessert,gelatin dessert,0.9999999999999998
hickory-smoked pepper bacon,"pork bacon, smoked or cured, cooked",0.4082482904638631
puree,"yogurt, whole milk, baby food, with fruit and multigrain cereal puree, nfs",0.2886751345948129
jujube candy,date candy,0.4999999999999999
chipotles in adobo sauce,"herring, pickled, in cream sauce",0.4472135954999579
